order_details_id,order_id,order_date,order_time,item_id,item_price
1,1,2023-01-01,11:38:36,109,17.95
2,2,2023-01-01,11:57:40,108,14.50
3,2,2023-01-01,11:57:40,124,14.50
4,2,2023-01-01,11:57:40,117,12.95
5,2,2023-01-01,11:57:40,129,15.50
6,2,2023-01-01,11:57:40,106,7.00
7,3,2023-01-01,12:12:28,117,12.95
8,3,2023-01-01,12:12:28,119,11.95
9,4,2023-01-01,12:16:31,117,12.95
10,5,2023-01-01,12:21:30,117,12.95
11,6,2023-01-01,12:29:36,101,12.95
12,6,2023-01-01,12:29:36,114,9.00
13,7,2023-01-01,12:50:37,123,9.00
14,8,2023-01-01,12:51:37,123,9.00
15,9,2023-01-01,12:52:01,108,14.50
16,9,2023-01-01,12:52:01,126,14.50
17,9,2023-01-01,12:52:01,110,17.95
18,9,2023-01-01,12:52:01,117,12.95
19,9,2023-01-01,12:52:01,117,12.95
20,9,2023-01-01,12:52:01,129,15.50
21,9,2023-01-01,12:52:01,122,7.00
22,9,2023-01-01,12:52:01,130,19.95
23,9,2023-01-01,12:52:01,132,16.95
24,10,2023-01-01,13:00:15,129,15.50
25,10,2023-01-01,13:00:15,105,7.00
26,11,2023-01-01,13:02:59,101,12.95
27,11,2023-01-01,13:02:59,102,13.95
28,11,2023-01-01,13:02:59,102,13.95
29,11,2023-01-01,13:02:59,113,5.00
30,12,2023-01-01,13:04:41,102,13.95
31,12,2023-01-01,13:04:41,102,13.95
32,12,2023-01-01,13:04:41,104,10.50
33,12,2023-01-01,13:04:41,117,12.95
34,13,2023-01-01,13:11:55,129,15.50
35,14,2023-01-01,13:14:19,114,9.00
36,15,2023-01-01,13:33:00,107,16.50
37,15,2023-01-01,13:33:00,124,14.50
38,15,2023-01-01,13:33:00,121,10.50
39,15,2023-01-01,13:33:00,114,9.00
40,16,2023-01-01,13:34:07,125,17.95
41,16,2023-01-01,13:34:07,111,11.95
42,16,2023-01-01,13:34:07,106,7.00
43,17,2023-01-01,13:53:00,101,12.95
44,17,2023-01-01,13:53:00,116,13.95
45,17,2023-01-01,13:53:00,124,14.50
46,17,2023-01-01,13:53:00,125,17.95
47,17,2023-01-01,13:53:00,117,12.95
48,17,2023-01-01,13:53:00,127,17.95
49,17,2023-01-01,13:53:00,128,15.50
50,17,2023-01-01,13:53:00,129,15.50
51,17,2023-01-01,13:53:00,118,14.95
52,17,2023-01-01,13:53:00,131,17.95
53,18,2023-01-01,13:57:08,111,11.95
54,19,2023-01-01,13:59:09,110,17.95
55,19,2023-01-01,13:59:09,120,13.95
56,20,2023-01-01,14:03:08,107,16.50
57,20,2023-01-01,14:03:08,124,14.50
58,21,2023-01-01,14:14:29,110,17.95
59,22,2023-01-01,14:16:26,124,14.50
60,22,2023-01-01,14:16:26,110,17.95
61,22,2023-01-01,14:16:26,105,7.00
62,23,2023-01-01,14:19:03,105,7.00
63,24,2023-01-01,14:23:01,101,12.95
64,24,2023-01-01,14:23:01,110,17.95
65,24,2023-01-01,14:23:01,113,5.00
66,24,2023-01-01,14:23:01,119,11.95
67,25,2023-01-01,14:44:44,120,13.95
68,25,2023-01-01,14:44:44,106,7.00
69,26,2023-01-01,14:54:26,108,14.50
70,26,2023-01-01,14:54:26,132,16.95
71,27,2023-01-01,15:11:17,101,12.95
72,27,2023-01-01,15:11:17,108,14.50
73,27,2023-01-01,15:11:17,131,17.95
74,28,2023-01-01,15:35:46,103,9.00
75,29,2023-01-01,15:41:01,126,14.50
76,30,2023-01-01,15:41:25,106,7.00
77,31,2023-01-01,15:50:18,129,15.50
78,31,2023-01-01,15:50:18,113,5.00
79,32,2023-01-01,15:53:18,107,16.50
